Iteración;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;T1_Win;T2_Win;Set_Status;Game_Sequence;Calculated_Probability
385;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;;;;4.0;6.0;Perdido;1,0,1,0,0,0,0,1,0;0.0%
386;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,1,0,0,0,1,0,0;0.0%
387;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,1,0,0,0,1,1,1;0.74119%
388;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,1,0,0,1,0,0,0;0.0%
389;1.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,1,0,0,1,0,1,1;0.13614%
390;1.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,1,0,0,1,1,0,1;0.74119%
391;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,1,0,1,0,0,0,0;0.0%
392;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,1,0,1,0,0,1,1;0.74119%
393;1.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,1,0,1,0,1,0,1;4.03536%
394;1.0;1.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,1,0,1,1,0,0,1;0.74119%
395;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;;;;4.0;6.0;Perdido;1,0,1,1,0,0,0,0,0;0.0%
396;1.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;1.0;;;;6.0;4.0;Ganado;1,0,1,1,0,0,0,1,1;0.13614%
397;1.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,1,1,0,0,1,0,1;0.74119%
398;1.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;;;;6.0;4.0;Ganado;1,0,1,1,0,1,0,0,1;0.13614%
